import time: self [us] | cumulative | imported package
import time:       367 |        367 |                                   google.cloud.aiplatform_v1beta1.services.match_service.transports.rest_base
import time:       484 |        850 |                                 google.cloud.aiplatform_v1beta1.services.match_service.transports.rest
import time:        28 |         28 |                                   aiohttp
import time:       359 |        387 |                                 google.cloud.aiplatform_v1beta1.services.match_service.transports.rest_asyncio
import time:       132 |       2121 |                               google.cloud.aiplatform_v1beta1.services.match_service.transports
import time:         7 |       2128 |                             google.cloud.aiplatform_v1beta1.services.match_service.transports.base
import time:        26 |         26 |                               aiohttp
import time:       116 |        141 |                             google.cloud.aiplatform_v1beta1.services.match_service.transports.rest_asyncio
import time:       318 |       2586 |                           google.cloud.aiplatform_v1beta1.services.match_service.client
import time:       327 |        327 |                           google.cloud.aiplatform_v1beta1.services.match_service.async_client
import time:        93 |       3005 |                         google.cloud.aiplatform_v1beta1.services.match_service
import time:       429 |        429 |                             google.cloud.aiplatform_v1beta1.services.metadata_service.pagers
import time:       686 |        686 |                                 google.cloud.aiplatform_v1beta1.services.metadata_service.transports.base
import time:       433 |        433 |                                 google.cloud.aiplatform_v1beta1.services.metadata_service.transports.grpc
import time:       442 |        442 |                                 google.cloud.aiplatform_v1beta1.services.metadata_service.transports.grpc_asyncio
import time:       744 |        744 |                                   google.cloud.aiplatform_v1beta1.services.metadata_service.transports.rest_base
import time:      1200 |       1943 |                                 google.cloud.aiplatform_v1beta1.services.metadata_service.transports.rest
import time:        28 |         28 |                                   aiohttp
import time:       560 |        587 |                                 google.cloud.aiplatform_v1beta1.services.metadata_service.transports.rest_asyncio
import time:       151 |       4241 |                               google.cloud.aiplatform_v1beta1.services.metadata_service.transports
import time:        11 |       4251 |                             google.cloud.aiplatform_v1beta1.services.metadata_service.transports.base
import time:        23 |         23 |                               aiohttp
import time:       250 |        273 |                             google.cloud.aiplatform_v1beta1.services.metadata_service.transports.rest_asyncio
import time:      1040 |       5992 |                           google.cloud.aiplatform_v1beta1.services.metadata_service.client
import time:       836 |        836 |                           google.cloud.aiplatform_v1beta1.services.metadata_service.async_client
import time:        89 |       6916 |                         google.cloud.aiplatform_v1beta1.services.metadata_service
import time:       271 |        271 |                             google.cloud.aiplatform_v1beta1.services.migration_service.pagers
import time:       321 |        321 |                                 google.cloud.aiplatform_v1beta1.services.migration_service.transports.base
import time:       293 |        293 |                                 google.cloud.aiplatform_v1beta1.services.migration_service.transports.grpc
import time:       296 |        296 |                                 google.cloud.aiplatform_v1beta1.services.migration_service.transports.grpc_asyncio
import time:       355 |        355 |                                   google.cloud.aiplatform_v1beta1.services.migration_service.transports.rest_base
import time:       629 |        983 |                                 google.cloud.aiplatform_v1beta1.services.migration_service.transports.rest
import time:        29 |         29 |                                   aiohttp
import time:       368 |        396 |                                 google.cloud.aiplatform_v1beta1.services.migration_service.transports.rest_asyncio
import time:       164 |       2452 |                               google.cloud.aiplatform_v1beta1.services.migration_service.transports
import time:         8 |       2459 |                             google.cloud.aiplatform_v1beta1.services.migration_service.transports.base
import time:        26 |         26 |                               aiohttp
import time:       140 |        166 |                             google.cloud.aiplatform_v1beta1.services.migration_service.transports.rest_asyncio
import time:       495 |       3390 |                           google.cloud.aiplatform_v1beta1.services.migration_service.client
import time:       336 |        336 |                           google.cloud.aiplatform_v1beta1.services.migration_service.async_client
import time:       222 |       3947 |                         google.cloud.aiplatform_v1beta1.services.migration_service
import time:       278 |        278 |                             google.cloud.aiplatform_v1beta1.services.model_garden_service.pagers
import time:       303 |        303 |                                 google.cloud.aiplatform_v1beta1.services.model_garden_service.transports.base
import time:       283 |        283 |                                 google.cloud.aiplatform_v1beta1.services.model_garden_service.transports.grpc
import time:       267 |        267 |                                 google.cloud.aiplatform_v1beta1.services.model_garden_service.transports.grpc_asyncio
import time:       365 |        365 |                                   google.cloud.aiplatform_v1beta1.services.model_garden_service.transports.rest_base
import time:       702 |       1066 |                                 google.cloud.aiplatform_v1beta1.services.model_garden_service.transports.rest
import time:        30 |         30 |                                   aiohttp
import time:       352 |        381 |                                 google.cloud.aiplatform_v1beta1.services.model_garden_service.transports.rest_asyncio
import time:       186 |       2485 |                               google.cloud.aiplatform_v1beta1.services.model_garden_service.transports
import time:         8 |       2493 |                             google.cloud.aiplatform_v1beta1.services.model_garden_service.transports.base
import time:        25 |         25 |                               aiohttp
import time:       112 |        136 |                             google.cloud.aiplatform_v1beta1.services.model_garden_service.transports.rest_asyncio
import time:       450 |       3356 |                           google.cloud.aiplatform_v1beta1.services.model_garden_service.client
import time:       335 |        335 |                           google.cloud.aiplatform_v1beta1.services.model_garden_service.async_client
import time:       197 |       3886 |                         google.cloud.aiplatform_v1beta1.services.model_garden_service
import time:       373 |        373 |                             google.cloud.aiplatform_v1beta1.services.model_monitoring_service.pagers
import time:       371 |        371 |                                 google.cloud.aiplatform_v1beta1.services.model_monitoring_service.transports.base
import time:       288 |        288 |                                 google.cloud.aiplatform_v1beta1.services.model_monitoring_service.transports.grpc
import time:       319 |        319 |                                 google.cloud.aiplatform_v1beta1.services.model_monitoring_service.transports.grpc_asyncio
import time:       537 |        537 |                                   google.cloud.aiplatform_v1beta1.services.model_monitoring_service.transports.rest_base
import time:       792 |       1329 |                                 google.cloud.aiplatform_v1beta1.services.model_monitoring_service.transports.rest
import time:        26 |         26 |                                   aiohttp
import time:       436 |        461 |                                 google.cloud.aiplatform_v1beta1.services.model_monitoring_service.transports.rest_asyncio
import time:       251 |       3017 |                               google.cloud.aiplatform_v1beta1.services.model_monitoring_service.transports
import time:         7 |       3023 |                             google.cloud.aiplatform_v1beta1.services.model_monitoring_service.transports.base
import time:        23 |         23 |                               aiohttp
import time:       171 |        194 |                             google.cloud.aiplatform_v1beta1.services.model_monitoring_service.transports.rest_asyncio
import time:       589 |       4178 |                           google.cloud.aiplatform_v1beta1.services.model_monitoring_service.client
import time:       417 |        417 |                           google.cloud.aiplatform_v1beta1.services.model_monitoring_service.async_client
import time:       198 |       4791 |                         google.cloud.aiplatform_v1beta1.services.model_monitoring_service
import time:       524 |        524 |                             google.cloud.aiplatform_v1beta1.services.model_service.pagers
import time:       484 |        484 |                                 google.cloud.aiplatform_v1beta1.services.model_service.transports.base
import time:       381 |        381 |                                 google.cloud.aiplatform_v1beta1.services.model_service.transports.grpc
import time:       377 |        377 |                                 google.cloud.aiplatform_v1beta1.services.model_service.transports.grpc_asyncio
import time:       609 |        609 |                                   google.cloud.aiplatform_v1beta1.services.model_service.transports.rest_base
import time:       898 |       1506 |                                 google.cloud.aiplatform_v1beta1.services.model_service.transports.rest
import time:        27 |         27 |                                   aiohttp
import time:       483 |        510 |                                 google.cloud.aiplatform_v1beta1.services.model_service.transports.rest_asyncio
import time:       146 |       3402 |                               google.cloud.aiplatform_v1beta1.services.model_service.transports
import time:         9 |       3410 |                             google.cloud.aiplatform_v1beta1.services.model_service.transports.base
import time:        24 |         24 |                               aiohttp
import time:       192 |        215 |                             google.cloud.aiplatform_v1beta1.services.model_service.transports.rest_asyncio
import time:       730 |       4877 |                           google.cloud.aiplatform_v1beta1.services.model_service.client
import time:       445 |        445 |                           google.cloud.aiplatform_v1beta1.services.model_service.async_client
import time:        97 |       5418 |                         google.cloud.aiplatform_v1beta1.services.model_service
import time:       378 |        378 |                             google.cloud.aiplatform_v1beta1.services.notebook_service.pagers
import time:       540 |        540 |                                 google.cloud.aiplatform_v1beta1.services.notebook_service.transports.base
import time:       199 |        199 |                                 google.cloud.aiplatform_v1beta1.services.notebook_service.transports.grpc
import time:       217 |        217 |                                 google.cloud.aiplatform_v1beta1.services.notebook_service.transports.grpc_asyncio
import time:       450 |        450 |                                   google.cloud.aiplatform_v1beta1.services.notebook_service.transports.rest_base
import time:       847 |       1296 |                                 google.cloud.aiplatform_v1beta1.services.notebook_service.transports.rest
import time:        29 |         29 |                                   aiohttp
import time:       477 |        506 |                                 google.cloud.aiplatform_v1beta1.services.notebook_service.transports.rest_asyncio
import time:       127 |       2882 |                               google.cloud.aiplatform_v1beta1.services.notebook_service.transports
import time:         8 |       2889 |                             google.cloud.aiplatform_v1beta1.services.notebook_service.transports.base
import time:        25 |         25 |                               aiohttp
import time:       214 |        238 |                             google.cloud.aiplatform_v1beta1.services.notebook_service.transports.rest_asyncio
import time:       667 |       4170 |                           google.cloud.aiplatform_v1beta1.services.notebook_service.client
import time:       413 |        413 |                           google.cloud.aiplatform_v1beta1.services.notebook_service.async_client
import time:        92 |       4674 |                         google.cloud.aiplatform_v1beta1.services.notebook_service
import time:       252 |        252 |                             google.cloud.aiplatform_v1beta1.services.persistent_resource_service.pagers
import time:       315 |        315 |                                 google.cloud.aiplatform_v1beta1.services.persistent_resource_service.transports.base
import time:       307 |        307 |                                 google.cloud.aiplatform_v1beta1.services.persistent_resource_service.transports.grpc
import time:       365 |        365 |                                 google.cloud.aiplatform_v1beta1.services.persistent_resource_service.transports.grpc_asyncio
import time:      1447 |       1447 |                                   google.cloud.aiplatform_v1beta1.services.persistent_resource_service.transports.rest_base
import time:       695 |       2141 |                                 google.cloud.aiplatform_v1beta1.services.persistent_resource_service.transports.rest
import time:        31 |         31 |                                   aiohttp
import time:       449 |        480 |                                 google.cloud.aiplatform_v1beta1.services.persistent_resource_service.transports.rest_asyncio
import time:       129 |       3735 |                               google.cloud.aiplatform_v1beta1.services.persistent_resource_service.transports
import time:         7 |       3742 |                             google.cloud.aiplatform_v1beta1.services.persistent_resource_service.transports.base
import time:        24 |         24 |                               aiohttp
import time:       142 |        165 |                             google.cloud.aiplatform_v1beta1.services.persistent_resource_service.transports.rest_asyncio
import time:       527 |       4684 |                           google.cloud.aiplatform_v1beta1.services.persistent_resource_service.client
import time:       369 |        369 |                           google.cloud.aiplatform_v1beta1.services.persistent_resource_service.async_client
import time:        93 |       5145 |                         google.cloud.aiplatform_v1beta1.services.persistent_resource_service
import time:       257 |        257 |                             google.cloud.aiplatform_v1beta1.services.pipeline_service.pagers
import time:       402 |        402 |                                 google.cloud.aiplatform_v1beta1.services.pipeline_service.transports.base
import time:       380 |        380 |                                 google.cloud.aiplatform_v1beta1.services.pipeline_service.transports.grpc
import time:       346 |        346 |                                 google.cloud.aiplatform_v1beta1.services.pipeline_service.transports.grpc_asyncio
import time:       444 |        444 |                                   google.cloud.aiplatform_v1beta1.services.pipeline_service.transports.rest_base
import time:       799 |       1243 |                                 google.cloud.aiplatform_v1beta1.services.pipeline_service.transports.rest
import time:        31 |         31 |                                   aiohttp
import time:       469 |        500 |                                 google.cloud.aiplatform_v1beta1.services.pipeline_service.transports.rest_asyncio
import time:       239 |       3108 |                               google.cloud.aiplatform_v1beta1.services.pipeline_service.transports
import time:         8 |       3116 |                             google.cloud.aiplatform_v1beta1.services.pipeline_service.transports.base
import time:        24 |         24 |                               aiohttp
import time:       199 |        222 |                             google.cloud.aiplatform_v1beta1.services.pipeline_service.transports.rest_asyncio
import time:       698 |       4292 |                           google.cloud.aiplatform_v1beta1.services.pipeline_service.client
import time:       395 |        395 |                           google.cloud.aiplatform_v1beta1.services.pipeline_service.async_client
import time:       202 |       4888 |                         google.cloud.aiplatform_v1beta1.services.pipeline_service
import time:       410 |        410 |                                 google.cloud.aiplatform_v1beta1.services.prediction_service.transports.base
import time:       320 |        320 |                                 google.cloud.aiplatform_v1beta1.services.prediction_service.transports.grpc
import time:       320 |        320 |                                 google.cloud.aiplatform_v1beta1.services.prediction_service.transports.grpc_asyncio
import time:       646 |        646 |                                   google.cloud.aiplatform_v1beta1.services.prediction_service.transports.rest_base
import time:       801 |       1446 |                                 google.cloud.aiplatform_v1beta1.services.prediction_service.transports.rest
import time:        27 |         27 |                                   aiohttp
import time:       434 |        461 |                                 google.cloud.aiplatform_v1beta1.services.prediction_service.transports.rest_asyncio
import time:       243 |       3197 |                               google.cloud.aiplatform_v1beta1.services.prediction_service.transports
import time:         7 |       3204 |                             google.cloud.aiplatform_v1beta1.services.prediction_service.transports.base
import time:        24 |         24 |                               aiohttp
import time:       158 |        181 |                             google.cloud.aiplatform_v1beta1.services.prediction_service.transports.rest_asyncio
import time:       607 |       3991 |                           google.cloud.aiplatform_v1beta1.services.prediction_service.client
import time:       504 |        504 |                           google.cloud.aiplatform_v1beta1.services.prediction_service.async_client
import time:       198 |       4692 |                         google.cloud.aiplatform_v1beta1.services.prediction_service
import time:       295 |        295 |                                 google.cloud.aiplatform_v1beta1.services.reasoning_engine_execution_service.transports.base
import time:       260 |        260 |                                 google.cloud.aiplatform_v1beta1.services.reasoning_engine_execution_service.transports.grpc
import time:       277 |        277 |                                 google.cloud.aiplatform_v1beta1.services.reasoning_engine_execution_service.transports.grpc_asyncio
import time:       246 |        246 |                                   google.cloud.aiplatform_v1beta1.services.reasoning_engine_execution_service.transports.rest_base
import time:       627 |        872 |                                 google.cloud.aiplatform_v1beta1.services.reasoning_engine_execution_service.transports.rest
import time:        30 |         30 |                                   aiohttp
import time:       282 |        312 |                                 google.cloud.aiplatform_v1beta1.services.reasoning_engine_execution_service.transports.rest_asyncio
import time:       116 |       2129 |                               google.cloud.aiplatform_v1beta1.services.reasoning_engine_execution_service.transports
import time:         7 |       2136 |                             google.cloud.aiplatform_v1beta1.services.reasoning_engine_execution_service.transports.base
import time:        26 |         26 |                               aiohttp
import time:       114 |        139 |                             google.cloud.aiplatform_v1beta1.services.reasoning_engine_execution_service.transports.rest_asyncio
import time:       440 |       2714 |                           google.cloud.aiplatform_v1beta1.services.reasoning_engine_execution_service.client
import time:       289 |        289 |                           google.cloud.aiplatform_v1beta1.services.reasoning_engine_execution_service.async_client
import time:        97 |       3098 |                         google.cloud.aiplatform_v1beta1.services.reasoning_engine_execution_service
import time:       267 |        267 |                             google.cloud.aiplatform_v1beta1.services.reasoning_engine_service.pagers
import time:       325 |        325 |                                 google.cloud.aiplatform_v1beta1.services.reasoning_engine_service.transports.base
import time:       311 |        311 |                                 google.cloud.aiplatform_v1beta1.services.reasoning_engine_service.transports.grpc
import time:       330 |        330 |                                 google.cloud.aiplatform_v1beta1.services.reasoning_engine_service.transports.grpc_asyncio
import time:       406 |        406 |                                   google.cloud.aiplatform_v1beta1.services.reasoning_engine_service.transports.rest_base
import time:       578 |        983 |                                 google.cloud.aiplatform_v1beta1.services.reasoning_engine_service.transports.rest
import time:        27 |         27 |                                   aiohttp
import time:       247 |        273 |                                 google.cloud.aiplatform_v1beta1.services.reasoning_engine_service.transports.rest_asyncio
import time:       124 |       2344 |                               google.cloud.aiplatform_v1beta1.services.reasoning_engine_service.transports
import time:         7 |       2351 |                             google.cloud.aiplatform_v1beta1.services.reasoning_engine_service.transports.base
import time:        23 |         23 |                               aiohttp
import time:       156 |        178 |                             google.cloud.aiplatform_v1beta1.services.reasoning_engine_service.transports.rest_asyncio
import time:       499 |       3295 |                           google.cloud.aiplatform_v1beta1.services.reasoning_engine_service.client
import time:       362 |        362 |                           google.cloud.aiplatform_v1beta1.services.reasoning_engine_service.async_client
import time:       102 |       3757 |                         google.cloud.aiplatform_v1beta1.services.reasoning_engine_service
import time:       266 |        266 |                             google.cloud.aiplatform_v1beta1.services.schedule_service.pagers
import time:       344 |        344 |                                 google.cloud.aiplatform_v1beta1.services.schedule_service.transports.base
import time:       278 |        278 |                                 google.cloud.aiplatform_v1beta1.services.schedule_service.transports.grpc
import time:       450 |        450 |                                 google.cloud.aiplatform_v1beta1.services.schedule_service.transports.grpc_asyncio
import time:       307 |        307 |                                   google.cloud.aiplatform_v1beta1.services.schedule_service.transports.rest_base
import time:       611 |        918 |                                 google.cloud.aiplatform_v1beta1.services.schedule_service.transports.rest
import time:        30 |         30 |                                   aiohttp
import time:       429 |        459 |                                 google.cloud.aiplatform_v1beta1.services.schedule_service.transports.rest_asyncio
import time:       119 |       2565 |                               google.cloud.aiplatform_v1beta1.services.schedule_service.transports
import time:         8 |       2572 |                             google.cloud.aiplatform_v1beta1.services.schedule_service.transports.base
import time:        27 |         27 |                               aiohttp
import time:       164 |        190 |                             google.cloud.aiplatform_v1beta1.services.schedule_service.transports.rest_asyncio
import time:       574 |       3600 |                           google.cloud.aiplatform_v1beta1.services.schedule_service.client
import time:       410 |        410 |                           google.cloud.aiplatform_v1beta1.services.schedule_service.async_client
import time:        99 |       4108 |                         google.cloud.aiplatform_v1beta1.services.schedule_service
import time:       404 |        404 |                             google.cloud.aiplatform_v1beta1.services.specialist_pool_service.pagers
import time:       322 |        322 |                                 google.cloud.aiplatform_v1beta1.services.specialist_pool_service.transports.base
import time:       166 |        166 |                                 google.cloud.aiplatform_v1beta1.services.specialist_pool_service.transports.grpc
import time:       296 |        296 |                                 google.cloud.aiplatform_v1beta1.services.specialist_pool_service.transports.grpc_asyncio
import time:       388 |        388 |                                   google.cloud.aiplatform_v1beta1.services.specialist_pool_service.transports.rest_base
import time:       706 |       1094 |                                 google.cloud.aiplatform_v1beta1.services.specialist_pool_service.transports.rest
import time:        27 |         27 |                                   aiohttp
import time:       398 |        425 |                                 google.cloud.aiplatform_v1beta1.services.specialist_pool_service.transports.rest_asyncio
import time:       128 |       2429 |                               google.cloud.aiplatform_v1beta1.services.specialist_pool_service.transports
import time:         8 |       2437 |                             google.cloud.aiplatform_v1beta1.services.specialist_pool_service.transports.base
import time:        24 |         24 |                               aiohttp
import time:       148 |        171 |                             google.cloud.aiplatform_v1beta1.services.specialist_pool_service.transports.rest_asyncio
import time:       493 |       3503 |                           google.cloud.aiplatform_v1beta1.services.specialist_pool_service.client
import time:       473 |        473 |                           google.cloud.aiplatform_v1beta1.services.specialist_pool_service.async_client
import time:        95 |       4069 |                         google.cloud.aiplatform_v1beta1.services.specialist_pool_service
import time:       398 |        398 |                             google.cloud.aiplatform_v1beta1.services.tensorboard_service.pagers
import time:       601 |        601 |                                 google.cloud.aiplatform_v1beta1.services.tensorboard_service.transports.base
import time:       412 |        412 |                                 google.cloud.aiplatform_v1beta1.services.tensorboard_service.transports.grpc
import time:       415 |        415 |                                 google.cloud.aiplatform_v1beta1.services.tensorboard_service.transports.grpc_asyncio
import time:       693 |        693 |                                   google.cloud.aiplatform_v1beta1.services.tensorboard_service.transports.rest_base
import time:      1356 |       2049 |                                 google.cloud.aiplatform_v1beta1.services.tensorboard_service.transports.rest
import time:        30 |         30 |                                   aiohttp
import time:       601 |        631 |                                 google.cloud.aiplatform_v1beta1.services.tensorboard_service.transports.rest_asyncio
import time:       146 |       4251 |                               google.cloud.aiplatform_v1beta1.services.tensorboard_service.transports
import time:         9 |       4259 |                             google.cloud.aiplatform_v1beta1.services.tensorboard_service.transports.base
import time:        24 |         24 |                               aiohttp
import time:       246 |        270 |                             google.cloud.aiplatform_v1beta1.services.tensorboard_service.transports.rest_asyncio
import time:       905 |       5830 |                           google.cloud.aiplatform_v1beta1.services.tensorboard_service.client
import time:       832 |        832 |                           google.cloud.aiplatform_v1beta1.services.tensorboard_service.async_client
import time:        96 |       6758 |                         google.cloud.aiplatform_v1beta1.services.tensorboard_service
import time:       210 |        210 |                             google.cloud.aiplatform_v1beta1.services.vertex_rag_data_service.pagers
import time:       547 |        547 |                                 google.cloud.aiplatform_v1beta1.services.vertex_rag_data_service.transports.base
import time:       447 |        447 |                                 google.cloud.aiplatform_v1beta1.services.vertex_rag_data_service.transports.grpc
import time:       249 |        249 |                                 google.cloud.aiplatform_v1beta1.services.vertex_rag_data_service.transports.grpc_asyncio
import time:       484 |        484 |                                   google.cloud.aiplatform_v1beta1.services.vertex_rag_data_service.transports.rest_base
import time:       810 |       1294 |                                 google.cloud.aiplatform_v1beta1.services.vertex_rag_data_service.transports.rest
import time:        27 |         27 |                                   aiohttp
import time:       434 |        461 |                                 google.cloud.aiplatform_v1beta1.services.vertex_rag_data_service.transports.rest_asyncio
import time:       241 |       3237 |                               google.cloud.aiplatform_v1beta1.services.vertex_rag_data_service.transports
import time:         8 |       3245 |                             google.cloud.aiplatform_v1beta1.services.vertex_rag_data_service.transports.base
import time:        23 |         23 |                               aiohttp
import time:       165 |        187 |                             google.cloud.aiplatform_v1beta1.services.vertex_rag_data_service.transports.rest_asyncio
import time:      1798 |       5439 |                           google.cloud.aiplatform_v1beta1.services.vertex_rag_data_service.client
import time:       384 |        384 |                           google.cloud.aiplatform_v1beta1.services.vertex_rag_data_service.async_client
import time:       233 |       6056 |                         google.cloud.aiplatform_v1beta1.services.vertex_rag_data_service
import time:       305 |        305 |                                 google.cloud.aiplatform_v1beta1.services.vertex_rag_service.transports.base
import time:       146 |        146 |                                 google.cloud.aiplatform_v1beta1.services.vertex_rag_service.transports.grpc
import time:       150 |        150 |                                 google.cloud.aiplatform_v1beta1.services.vertex_rag_service.transports.grpc_asyncio
import time:       227 |        227 |                                   google.cloud.aiplatform_v1beta1.services.vertex_rag_service.transports.rest_base
import time:       466 |        693 |                                 google.cloud.aiplatform_v1beta1.services.vertex_rag_service.transports.rest
import time:        32 |         32 |                                   aiohttp
import time:       184 |        216 |                                 google.cloud.aiplatform_v1beta1.services.vertex_rag_service.transports.rest_asyncio
import time:       163 |       1671 |                               google.cloud.aiplatform_v1beta1.services.vertex_rag_service.transports
import time:         7 |       1677 |                             google.cloud.aiplatform_v1beta1.services.vertex_rag_service.transports.base
import time:        23 |         23 |                               aiohttp
import time:       109 |        132 |                             google.cloud.aiplatform_v1beta1.services.vertex_rag_service.transports.rest_asyncio
import time:       300 |       2108 |                           google.cloud.aiplatform_v1beta1.services.vertex_rag_service.client
import time:       297 |        297 |                           google.cloud.aiplatform_v1beta1.services.vertex_rag_service.async_client
import time:       195 |       2599 |                         google.cloud.aiplatform_v1beta1.services.vertex_rag_service
import time:       587 |        587 |                             google.cloud.aiplatform_v1beta1.services.vizier_service.pagers
import time:       536 |        536 |                                 google.cloud.aiplatform_v1beta1.services.vizier_service.transports.base
import time:       232 |        232 |                                 google.cloud.aiplatform_v1beta1.services.vizier_service.transports.grpc
import time:       247 |        247 |                                 google.cloud.aiplatform_v1beta1.services.vizier_service.transports.grpc_asyncio
import time:       639 |        639 |                                   google.cloud.aiplatform_v1beta1.services.vizier_service.transports.rest_base
import time:      1051 |       1689 |                                 google.cloud.aiplatform_v1beta1.services.vizier_service.transports.rest
import time:        44 |         44 |                                   aiohttp
import time:       514 |        557 |                                 google.cloud.aiplatform_v1beta1.services.vizier_service.transports.rest_asyncio
import time:       251 |       3510 |                               google.cloud.aiplatform_v1beta1.services.vizier_service.transports
import time:        23 |       3533 |                             google.cloud.aiplatform_v1beta1.services.vizier_service.transports.base
import time:        25 |         25 |                               aiohttp
import time:       198 |        222 |                             google.cloud.aiplatform_v1beta1.services.vizier_service.transports.rest_asyncio
import time:     23020 |      27360 |                           google.cloud.aiplatform_v1beta1.services.vizier_service.client
import time:       415 |        415 |                           google.cloud.aiplatform_v1beta1.services.vizier_service.async_client
import time:        90 |      27863 |                         google.cloud.aiplatform_v1beta1.services.vizier_service
import time:      1041 |     275245 |                       google.cloud.aiplatform_v1beta1
import time:         7 |     275252 |                     google.cloud.aiplatform_v1beta1.services
import time:         8 |     275259 |                   google.cloud.aiplatform_v1beta1.services.dataset_service
import time:       133 |        133 |                         google.cloud.aiplatform_v1.gapic_version
import time:        86 |         86 |                           google.cloud.aiplatform_v1.services
import time:       540 |        540 |                                 google.cloud.aiplatform_v1.types.accelerator_type
import time:       199 |        199 |                                   google.cloud.aiplatform_v1.types.user_action_reference
import time:       387 |        586 |                                 google.cloud.aiplatform_v1.types.annotation
import time:       147 |        147 |                                 google.cloud.aiplatform_v1.types.annotation_spec
import time:       457 |        457 |                                 google.cloud.aiplatform_v1.types.artifact
import time:       168 |        168 |                                   google.cloud.aiplatform_v1.types.completion_stats
import time:       131 |        131 |                                   google.cloud.aiplatform_v1.types.encryption_spec
import time:       725 |        725 |                                     google.cloud.aiplatform_v1.types.explanation_metadata
import time:       310 |        310 |                                     google.cloud.aiplatform_v1.types.io
import time:      1153 |       2188 |                                   google.cloud.aiplatform_v1.types.explanation
import time:       220 |        220 |                                   google.cloud.aiplatform_v1.types.job_state
import time:       177 |        177 |                                     google.cloud.aiplatform_v1.types.reservation_affinity
import time:       399 |        576 |                                   google.cloud.aiplatform_v1.types.machine_resources
import time:       148 |        148 |                                   google.cloud.aiplatform_v1.types.manual_batch_tuning_parameters
import time:       114 |        114 |                                       google.cloud.aiplatform_v1.types.deployed_model_ref
import time:       109 |        109 |                                       google.cloud.aiplatform_v1.types.env_var
import time:       927 |       1148 |                                     google.cloud.aiplatform_v1.types.model
import time:       158 |       1306 |                                   google.cloud.aiplatform_v1.types.unmanaged_container_model
import time:       483 |       5216 |                                 google.cloud.aiplatform_v1.types.batch_prediction_job
import time:       336 |        336 |                                   google.cloud.aiplatform_v1.types.openapi
import time:       634 |        634 |                                   google.cloud.aiplatform_v1.types.tool
import time:      1804 |       2773 |                                 google.cloud.aiplatform_v1.types.content
import time:       228 |        228 |                                 google.cloud.aiplatform_v1.types.context
import time:       734 |        734 |                                 google.cloud.aiplatform_v1.types.custom_job
import time:       195 |        195 |                                 google.cloud.aiplatform_v1.types.data_item
import time:       564 |        564 |                                 google.cloud.aiplatform_v1.types.data_labeling_job
import time:       173 |        173 |                                   google.cloud.aiplatform_v1.types.saved_query
import time:       725 |        897 |                                 google.cloud.aiplatform_v1.types.dataset
import time:       168 |        168 |                                   google.cloud.aiplatform_v1.types.dataset_version
import time:       175 |        175 |                                   google.cloud.aiplatform_v1.types.operation
import time:      1491 |       1834 |                                 google.cloud.aiplatform_v1.types.dataset_service
import time:       139 |        139 |                                 google.cloud.aiplatform_v1.types.deployed_index_ref
import time:       164 |        164 |                                 google.cloud.aiplatform_v1.types.deployment_resource_pool
import time:       171 |        171 |                                     google.cloud.aiplatform_v1.types.service_networking
import time:       516 |        687 |                                   google.cloud.aiplatform_v1.types.endpoint
import time:       502 |       1189 |                                 google.cloud.aiplatform_v1.types.deployment_resource_pool_service
import time:       851 |        851 |                                 google.cloud.aiplatform_v1.types.endpoint_service
import time:       600 |        600 |                                   google.cloud.aiplatform_v1.types.featurestore_monitoring
import time:       324 |        924 |                                 google.cloud.aiplatform_v1.types.entity_type
import time:       646 |        646 |                                 google.cloud.aiplatform_v1.types.evaluated_annotation
import time:      3167 |       3167 |                                 google.cloud.aiplatform_v1.types.evaluation_service
import time:       284 |        284 |                                 google.cloud.aiplatform_v1.types.event
import time:       313 |        313 |                                 google.cloud.aiplatform_v1.types.execution
import time:       169 |        169 |                                   google.cloud.aiplatform_v1.types.feature_monitoring_stats
import time:       477 |        646 |                                 google.cloud.aiplatform_v1.types.feature
import time:       299 |        299 |                                 google.cloud.aiplatform_v1.types.feature_group
import time:       412 |        412 |                                 google.cloud.aiplatform_v1.types.feature_online_store
import time:       631 |        631 |                                   google.cloud.aiplatform_v1.types.feature_view
import time:       204 |        204 |                                   google.cloud.aiplatform_v1.types.feature_view_sync
import time:       718 |       1552 |                                 google.cloud.aiplatform_v1.types.feature_online_store_admin_service
import time:       227 |        227 |                                     google.cloud.aiplatform_v1.types.feature_selector
import time:       379 |        379 |                                     google.cloud.aiplatform_v1.types.types
import time:       585 |       1190 |                                   google.cloud.aiplatform_v1.types.featurestore_online_service
import time:       777 |       1966 |                                 google.cloud.aiplatform_v1.types.feature_online_store_service
import time:       409 |        409 |                                 google.cloud.aiplatform_v1.types.feature_registry_service
import time:       488 |        488 |                                 google.cloud.aiplatform_v1.types.featurestore
import time:      1953 |       1953 |                                 google.cloud.aiplatform_v1.types.featurestore_service
import time:       642 |        642 |                                   google.cloud.aiplatform_v1.types.tuning_job
import time:       469 |       1110 |                                 google.cloud.aiplatform_v1.types.genai_tuning_service
import time:      1392 |       1392 |                                   google.cloud.aiplatform_v1.types.study
import time:       248 |       1640 |                                 google.cloud.aiplatform_v1.types.hyperparameter_tuning_job
import time:       635 |        635 |                                 google.cloud.aiplatform_v1.types.index
